application_id,age,annual_income,loan_amount,monthly_emi,cibil_score,employment_type,loan_purpose,event_timestamp,applied_channel
LA2024000000,53.0,181105.0,179413.0,3768,573.0,Student,Business,2024-07-29 01:39:57,Website
LA2024000001,45.0,1260671.0,1172236.0,24617,343.0,Student,Education,2024-06-30 09:36:54,DSA Agent
LA2024000002,43.0,900785.0,999128.0,20982,371.0,Student,Personal,2024-09-08 01:57:52,Mobile App
LA2024000003,38.0,1423066.0,686373.0,14414,657.0,Student,Education,2024-09-16 08:36:12,Call Center
LA2024000004,28.0,1169821.0,677872.0,14235,642.0,Salaried,Vehicle,2024-07-09 07:47:20,Mobile App
LA2024000005,30.0,1448971.0,1294966.0,27194,633.0,Self-Employed,Vehicle,2024-04-10 03:30:42,DSA Agent
LA2024000006,50.0,909652.0,174621.0,3667,394.0,Self-Employed,Education,2024-06-10 17:57:59,DSA Agent
LA2024000007,21.0,163098.0,1061183.0,22285,606.0,Unemployed,Home Renovation,2024-04-24 18:31:47,Call Center
LA2024000008,21.0,365564.0,342130.0,7185,336.0,Student,Education,2024-06-18 20:32:47,DSA Agent
LA2024000009,35.0,907187.0,186557.0,3918,386.0,Student,Medical,2024-08-07 06:33:24,Branch
LA2024000010,51.0,805832.0,813394.0,17081,599.0,Student,Medical,2024-04-09 17:16:27,DSA Agent
LA2024000011,46.0,1460699.0,1464652.0,30758,670.0,Self-Employed,Medical,2024-05-16 13:20:23,Website
LA2024000012,43.0,829231.0,1116840.0,23454,693.0,Unemployed,Education,2024-01-13 07:43:28,Branch
LA2024000013,40.0,1569307.0,1153652.0,24227,890.0,Student,Business,2024-07-17 20:59:37,Call Center
LA2024000014,22.0,459731.0,1090342.0,22897,813.0,Unemployed,Home Renovation,2024-05-12 06:14:48,Mobile App
LA2024000015,32.0,785041.0,1189793.0,24986,528.0,Student,Business,2024-05-04 02:55:02,Website
LA2024000016,21.0,1397906.0,794178.0,16678,770.0,Student,Medical,2024-05-23 18:09:04,Mobile App
LA2024000017,50.0,354756.0,235764.0,4951,357.0,Salaried,Home Renovation,2024-02-28 04:24:30,Branch
LA2024000018,50.0,680311.0,1267634.0,26620,815.0,Student,Education,2024-06-10 10:49:45,DSA Agent
LA2024000019,29.0,1390562.0,703059.0,14764,532.0,Salaried,Medical,2024-07-20 04:55:15,Mobile App
LA2024000020,30.0,1121829.0,775510.0,16286,756.0,Student,Vehicle,2024-04-04 09:54:05,Branch
LA2024000021,31.0,1433813.0,587657.0,12341,883.0,Student,Business,2024-02-05 09:53:07,Branch
LA2024000022,56.0,1000954.0,314696.0,6609,722.0,Student,Medical,2024-04-14 10:41:55,DSA Agent
LA2024000023,39.0,1567665.0,1393809.0,29270,853.0,Self-Employed,Education,2024-02-23 14:49:19,Website
LA2024000024,50.0,1597754.0,1183272.0,24849,306.0,Salaried,Business,2024-04-10 23:07:34,Mobile App
