last_login_days_ago,videos_watched,completion_pct,quiz_avg_score,enrolled_days,dropped
1.0,60.0,60.3,80.3,127.0,0
11.0,28.0,95.0,70.4,23.0,0
5.0,39.0,100.0,86.9,66.0,0
16.0,45.0,81.7,87.7,119.0,0
7.0,50.0,86.7,69.0,159.0,0
6.0,95.0,90.8,62.3,90.0,0
42.0,12.0,7.4,76.2,154.0,1
3.0,69.0,89.3,77.2,167.0,0
6.0,95.0,75.7,50.0,85.0,0
7.0,83.0,100.0,77.5,73.0,0
5.0,48.0,78.1,62.0,164.0,0
11.0,12.0,14.8,54.3,55.0,1
1.0,48.0,78.2,79.9,152.0,0
0.0,44.0,100.0,55.9,134.0,0
0.0,64.0,74.9,93.4,64.0,0
0.0,64.0,91.7,85.8,47.0,0
52.0,9.0,18.0,49.0,127.0,1
0.0,41.0,84.0,94.9,140.0,0
4.0,34.0,82.3,88.5,59.0,0
18.0,18.0,73.3,60.6,131.0,0
5.0,49.0,54.1,89.2,109.0,0
10.0,50.0,90.7,63.7,11.0,0
0.0,63.0,75.1,87.8,94.0,0
17.0,13.0,91.7,67.7,58.0,0
30.0,0.0,11.5,61.8,100.0,1
0.0,41.0,92.0,80.4,33.0,0
0.0,44.0,88.0,66.8,191.0,0
20.0,72.0,55.4,90.2,24.0,0
1.0,73.0,86.1,93.6,160.0,0
0.0,67.0,76.6,48.1,54.0,0
66.0,0.0,15.3,44.2,127.0,1
6.0,41.0,85.9,83.8,34.0,0
10.0,7.0,5.2,19.1,19.0,1
10.0,83.0,77.3,76.2,186.0,0
30.0,0.0,11.3,70.0,34.0,1
11.0,56.0,75.7,50.0,120.0,0
4.0,46.0,62.0,98.0,131.0,0
46.0,25.0,9.6,64.2,51.0,1
2.0,62.0,65.4,64.2,184.0,0
17.0,36.0,65.6,62.8,162.0,0
1.0,41.0,81.2,87.0,19.0,0
0.0,112.0,85.3,77.9,15.0,0
0.0,36.0,79.7,79.5,198.0,0
8.0,64.0,75.0,82.3,30.0,0
15.0,34.0,70.5,77.4,99.0,0
0.0,42.0,76.8,45.8,155.0,0
0.0,25.0,71.8,67.9,82.0,0
9.0,25.0,79.4,82.4,191.0,0
52.0,22.0,13.0,61.2,139.0,1
1.0,56.0,87.0,66.9,153.0,0
0.0,85.0,74.3,73.5,198.0,0
8.0,46.0,83.8,91.4,34.0,0
11.0,48.0,88.9,95.1,48.0,0
10.0,44.0,83.3,79.0,29.0,0
6.0,24.0,88.0,87.3,192.0,0
0.0,58.0,59.3,79.3,114.0,0
9.0,41.0,75.1,84.6,33.0,0
50.0,13.0,7.2,10.6,65.0,1
0.0,69.0,85.1,65.0,163.0,0
4.0,32.0,98.5,100.0,110.0,0
9.0,52.0,97.0,100.0,143.0,0
5.0,53.0,83.0,74.4,102.0,0
0.0,50.0,77.5,79.9,102.0,0
0.0,4.0,16.2,100.0,177.0,1
0.0,76.0,75.2,74.8,113.0,0
10.0,29.0,75.9,75.4,151.0,0
27.0,0.0,74.1,91.6,195.0,0
7.0,64.0,70.8,58.0,96.0,0
0.0,63.0,84.0,64.8,155.0,0
5.0,19.0,97.0,88.0,179.0,0
6.0,45.0,89.3,76.8,198.0,0
12.0,69.0,76.8,93.4,88.0,0
0.0,2.0,8.5,41.0,31.0,1
17.0,58.0,83.5,79.9,181.0,0
51.0,0.0,10.5,67.0,85.0,1
6.0,61.0,79.0,94.9,24.0,0
18.0,42.0,78.0,87.7,57.0,0
23.0,0.0,9.9,67.9,173.0,1
6.0,39.0,81.4,84.0,71.0,0
4.0,70.0,72.7,90.2,125.0,0
0.0,70.0,72.2,74.1,193.0,0
16.0,49.0,83.1,85.1,140.0,0
11.0,38.0,84.3,94.2,115.0,0
0.0,83.0,76.9,73.2,77.0,0
14.0,48.0,68.7,79.8,168.0,0
4.0,59.0,92.5,67.5,153.0,0
14.0,18.0,90.4,82.7,11.0,0
7.0,44.0,60.1,60.6,92.0,0
0.0,69.0,93.4,84.7,109.0,0
6.0,15.0,77.9,97.8,75.0,0
24.0,12.0,5.7,77.4,191.0,1
0.0,54.0,91.4,94.8,193.0,0
47.0,9.0,7.3,19.9,74.0,1
9.0,66.0,90.0,65.4,10.0,0
18.0,82.0,82.4,72.0,103.0,0
3.0,63.0,66.2,75.6,135.0,0
0.0,65.0,59.7,69.2,66.0,0
11.0,24.0,88.8,92.2,139.0,0
29.0,15.0,13.9,40.6,145.0,1
4.0,82.0,71.9,79.9,14.0,0
10.0,35.0,77.3,100.0,11.0,0
5.0,33.0,74.4,72.6,117.0,0
22.0,19.0,21.2,63.8,118.0,1
0.0,68.0,90.7,69.5,167.0,0
13.0,20.0,82.2,91.9,31.0,0
3.0,27.0,77.7,73.7,89.0,0
11.0,69.0,100.0,79.0,96.0,0
10.0,0.0,65.7,64.6,135.0,0
35.0,15.0,6.4,36.3,105.0,1
4.0,27.0,69.5,89.5,140.0,0
3.0,42.0,78.4,53.1,87.0,0
0.0,28.0,81.5,48.3,30.0,0
2.0,16.0,88.4,67.4,19.0,0
9.0,28.0,77.4,68.9,20.0,0
0.0,27.0,76.3,70.8,115.0,0
9.0,18.0,77.2,71.3,91.0,0
18.0,79.0,69.2,75.0,57.0,0
2.0,24.0,86.3,68.6,125.0,0
0.0,3.0,82.8,95.2,93.0,0
3.0,0.0,84.4,87.2,68.0,0
0.0,55.0,79.3,73.0,27.0,0
17.0,7.0,78.1,88.5,33.0,0
7.0,41.0,91.8,36.0,40.0,0
39.0,9.0,6.8,53.8,42.0,1
2.0,49.0,94.1,87.7,126.0,0
0.0,52.0,83.7,66.3,127.0,0
14.0,33.0,93.5,82.8,198.0,0
17.0,0.0,9.9,47.7,25.0,1
0.0,40.0,78.0,79.8,196.0,0
14.0,52.0,92.0,55.2,148.0,0
10.0,14.0,9.3,30.3,31.0,1
16.0,36.0,77.1,74.8,118.0,0
0.0,28.0,69.5,78.3,120.0,0
58.0,8.0,14.4,71.0,29.0,1
3.0,66.0,73.2,91.1,181.0,0
28.0,14.0,15.4,26.8,144.0,1
6.0,51.0,87.6,88.9,85.0,0
6.0,56.0,72.3,66.6,89.0,0
5.0,92.0,69.6,83.3,162.0,0
18.0,65.0,72.2,98.4,126.0,0
5.0,26.0,74.4,99.0,37.0,0
13.0,0.0,78.3,36.4,124.0,0
43.0,11.0,8.3,27.0,197.0,1
17.0,3.0,17.8,34.7,176.0,1
16.0,5.0,7.3,20.8,132.0,1
12.0,23.0,70.6,66.6,112.0,0
17.0,9.0,18.2,50.0,127.0,1
46.0,6.0,12.2,66.2,62.0,1
4.0,42.0,93.2,63.7,120.0,0
24.0,30.0,78.2,82.7,169.0,0
19.0,0.0,10.0,54.0,181.0,1
52.0,22.0,19.7,20.1,122.0,1
10.0,45.0,81.4,69.0,68.0,0
2.0,45.0,67.0,71.7,51.0,0
7.0,44.0,55.2,77.4,50.0,0
2.0,25.0,71.6,77.6,54.0,0
9.0,77.0,98.2,65.4,111.0,0
6.0,90.0,98.6,78.3,94.0,0
22.0,72.0,77.4,75.9,197.0,0
6.0,6.0,70.4,74.8,127.0,0
4.0,30.0,82.8,51.6,196.0,0
14.0,61.0,84.4,81.3,184.0,0
0.0,28.0,86.0,83.2,27.0,0
20.0,30.0,54.7,85.7,60.0,0
0.0,15.0,100.0,76.6,19.0,0
40.0,4.0,9.0,88.7,131.0,1
18.0,27.0,78.0,81.5,163.0,0
34.0,0.0,11.4,86.6,183.0,1
3.0,70.0,89.9,73.3,132.0,0
5.0,54.0,85.0,65.6,55.0,0
11.0,16.0,80.9,59.4,128.0,0
0.0,64.0,84.6,84.7,59.0,0
5.0,48.0,78.9,70.4,142.0,0
3.0,71.0,84.0,84.5,17.0,0
0.0,61.0,87.3,100.0,15.0,0
0.0,28.0,83.4,89.8,126.0,0
31.0,10.0,12.1,64.2,87.0,1
7.0,61.0,93.9,65.7,36.0,0
0.0,68.0,64.0,82.7,101.0,0
7.0,67.0,72.0,80.4,128.0,0
1.0,91.0,80.3,94.0,135.0,0
16.0,66.0,72.7,68.7,16.0,0
5.0,28.0,76.0,55.2,120.0,0
15.0,49.0,92.9,60.2,24.0,0
0.0,22.0,78.5,92.0,153.0,0
9.0,72.0,61.7,76.6,147.0,0
11.0,26.0,75.8,86.7,113.0,0
5.0,94.0,80.6,69.1,163.0,0
2.0,39.0,80.4,63.2,130.0,0
5.0,44.0,85.6,84.0,123.0,0
21.0,6.0,15.4,48.9,10.0,1
0.0,29.0,78.6,81.5,46.0,0
