user_id,signup_month,last_active_month,status
50000,2023-04,2024-04,active
50001,2025-08,2026-04,active
50002,2025-03,2025-03,active
50003,2024-06,2025-04,active
50004,2024-06,2026-01,active
50005,2025-12,2026-05,active
50006,2023-04,2024-01,churned
50007,2025-05,2026-01,active
50008,2023-09,2024-03,active
50009,2023-04,2023-08,active
50010,2024-10,2025-05,active
50011,2026-05,2026-05,active
50012,2025-07,2026-04,active
50013,2025-08,2026-02,active
50014,2025-06,2025-11,active
50015,2025-09,2025-11,active
50016,2024-10,2024-12,active
50017,2023-06,2024-03,active
50018,2025-11,2025-12,active
50019,2024-07,2024-11,active
50020,2024-09,2025-11,active
50021,2024-04,2024-07,active
50022,2023-08,2023-09,active
50023,2026-02,2026-04,active
50024,2025-09,2025-11,active
50025,2025-03,2025-09,active
50026,2024-05,2024-08,churned
50027,2025-10,2025-11,active
50028,2024-11,2025-07,churned
50029,2024-07,2025-10,active
50030,2024-07,2025-04,active
50031,2023-10,2025-03,active
50032,2023-04,2024-11,active
50033,2024-11,2025-04,active
50034,2026-01,2026-02,active
50035,2023-03,2024-07,active
50036,2025-12,2025-12,active
50037,2025-10,2026-03,churned
50038,2023-12,2025-06,active
50039,2025-02,2025-06,active
50040,2023-07,2024-08,active
50041,2025-08,2025-11,active
50042,2025-05,2026-01,active
50043,2024-03,2025-11,active
50044,2023-03,2023-07,active
50045,2026-04,2026-04,active
50046,2024-07,2024-07,active
50047,2026-01,2026-03,churned
50048,2025-04,2025-07,active
50049,2025-08,2025-11,active
50050,2025-08,2025-12,active
50051,2023-08,2024-07,active
50052,2024-03,2025-01,active
50053,2024-08,2025-12,active
50054,2024-09,2026-02,active
50055,2023-02,2023-02,active
50056,2024-11,2025-06,active
50057,2023-07,2025-12,active
50058,2025-07,2025-12,active
50059,2025-05,2025-07,active
50060,2026-02,2026-04,active
50061,2025-07,2025-08,active
50062,2024-04,2024-04,active
50063,2026-04,2026-05,churned
50064,2024-05,2025-05,active
50065,2024-02,2025-11,churned
50066,2026-02,2026-03,active
50067,2024-04,2026-02,active
50068,2023-04,2024-08,active
50069,2024-08,2025-12,active
50070,2025-09,2025-09,active
50071,2023-08,2023-11,active
50072,2024-07,2026-01,active
